Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
Blekinge,3.51,5.91,68.47,-5.03,0,
Dalarna,7.15,12.27,36.98,-13.78,1,1.0
Gotland,2.64,4.12,55.13,-4.18,1,
Gävleborg,7.02,12.83,67.74,-34.16,1,1.0
Halland,5.51,9.03,38.38,-8.49,1,
Jämtland Härjedalen,0.0,0.0,,0.0,13,
Jönköping,8.15,11.81,57.43,-23.43,1,
Kalmar,5.72,8.64,54.25,-11.95,4,
Kronoberg,7.29,11.52,105.85,-9.37,1,
Norrbotten,4.52,6.62,44.58,-3.41,1,
Skåne,18.34,27.01,33.62,-50.77,1,1.0
Stockholm,39.53,59.94,34.01,-129.39,0,1.0
Södermanland,5.95,9.59,38.36,-19.98,1,1.0
Uppsala,7.89,11.99,47.79,6.4,-1,0.0
Värmland,4.45,8.4,20.29,-11.08,0,
Västerbotten,8.49,12.17,56.49,-6.0,1,
Västernorrland,7.83,14.16,51.05,-6.32,1,1.0
Västmanland,4.42,6.94,42.71,-3.14,1,
Västra Götaland,19.95,28.61,33.78,-52.67,0,1.0
Örebro,6.66,9.82,36.49,-10.71,1,
Östergötland,7.47,12.35,35.67,-18.43,1,
