Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
AK,12.75,16.21,85.75,3.69,1,
AL,98.18,141.78,74.36,-309.95,-3,
AR,60.61,91.06,123.54,-303.87,1,
AZ,311.44,531.95,90.09,-1949.42,1,
CA,577.66,749.35,77.86,-1580.31,-3,1.0
CO,91.19,134.09,79.23,-341.24,1,
CT,54.56,72.92,124.13,-138.99,-1,
DC,27.91,51.08,126.23,-174.92,-1,
DE,29.73,50.13,86.65,-130.08,-4,
FL,558.59,828.67,53.44,-2284.04,0,
GA,212.34,358.2,64.53,-970.54,0,
HI,20.31,30.16,40.27,-80.93,1,
IA,56.92,86.56,354.03,-291.42,1,
ID,39.29,54.21,109.16,-93.93,1,
IL,301.7,452.27,81.74,-1247.5,-1,
IN,212.87,328.6,117.47,-900.1,0,
KS,61.42,86.34,179.32,-230.2,-5,
KY,131.14,181.62,157.45,-436.9,0,
LA,87.64,115.98,62.33,-253.88,1,
MA,185.46,304.78,84.82,-889.06,0,
MD,116.33,206.67,90.17,-668.39,-1,
ME,31.12,39.98,267.66,-75.13,1,
MI,205.28,306.32,75.62,-741.71,-2,
MN,130.98,204.8,118.66,-451.29,1,
MO,159.28,241.71,97.81,-678.46,1,
MS,48.69,74.64,85.27,-261.44,1,
MT,24.19,38.78,81.6,-113.18,1,
NC,279.87,473.64,112.02,-1557.75,-1,
ND,10.29,15.19,79.12,-46.72,-1,
NE,42.06,63.73,140.99,-155.18,-4,
NH,26.3,37.34,107.81,-82.72,-3,
NJ,217.0,320.67,92.1,-832.91,-1,
NM,50.29,63.05,109.05,14.0,1,
NV,71.69,88.42,125.86,8.9,1,
NY,418.54,600.97,86.45,-1417.96,-3,1.0
OH,496.35,868.13,146.69,-2629.72,1,
OK,111.54,155.21,232.68,-343.99,1,
OR,92.0,116.74,114.69,-17.26,-4,
PA,679.7,1140.04,54.77,-3148.56,-2,
RI,27.13,45.6,99.85,-137.17,0,
SC,155.95,283.63,95.58,-956.45,1,
SD,17.63,29.86,172.63,-107.93,1,
TN,125.11,181.51,85.12,-375.51,-4,
TX,448.35,722.57,79.34,-2543.14,0,1.0
UT,55.44,88.93,58.85,-289.33,1,
VA,154.9,254.65,80.4,-815.97,0,
VT,11.18,17.36,165.88,-50.78,1,
WA,103.79,134.06,176.68,-130.76,-4,
WI,139.34,229.31,103.44,-625.19,-1,
WV,72.6,113.34,196.62,-323.43,0,
WY,16.26,23.13,156.55,-47.62,1,
