Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
AK,9.33,13.69,44.46,-3.1,1,
AL,79.06,117.85,43.39,-136.74,-4,
AR,57.53,101.36,57.98,-237.9,1,
AZ,220.53,364.29,60.42,-1267.99,1,
CA,419.22,591.52,39.48,-902.99,-4,0.0
CO,74.39,116.61,37.38,-142.41,1,
CT,49.93,76.18,57.86,-171.05,1,
DC,27.15,47.3,72.27,-132.71,-1,
DE,24.42,41.32,41.3,-86.17,-4,
FL,406.8,618.02,33.92,-1693.97,-3,1.0
GA,155.03,264.63,40.48,-690.9,-3,
HI,16.73,23.86,43.36,-54.37,1,
IA,45.29,83.33,85.19,-210.71,1,
ID,35.99,51.7,61.51,-4.43,1,
IL,222.88,362.58,51.71,-957.1,-4,
IN,164.93,280.97,52.81,-617.08,0,
KS,48.35,80.29,55.32,-190.28,0,
KY,117.22,199.33,58.81,-345.79,0,
LA,76.9,107.09,36.41,-134.38,1,
MA,144.71,257.61,40.76,-644.69,1,
MD,91.64,168.43,38.49,-471.42,1,
ME,22.56,41.58,75.56,-98.8,1,
MI,184.79,314.26,43.81,-634.16,0,
MN,96.8,144.96,48.35,-204.55,1,
MO,133.83,227.8,48.36,-523.19,0,
MS,41.54,73.06,36.3,-189.0,1,
MT,20.06,35.69,56.31,-97.25,-1,
NC,205.71,367.36,44.94,-1188.34,1,
ND,10.74,16.91,55.11,-41.96,1,
NE,32.74,54.35,52.25,-117.69,0,
NH,21.66,36.05,40.85,-76.43,-1,
NJ,173.95,274.81,46.81,-672.04,-4,
NM,40.55,58.48,65.0,-9.18,1,
NV,41.58,64.15,59.86,-8.27,1,
NY,311.76,490.17,39.77,-847.23,-3,0.0
OH,372.2,682.54,86.56,-2054.67,0,
OK,85.65,140.63,76.61,-323.91,1,
OR,71.38,108.49,47.48,26.92,-5,
PA,520.51,878.04,44.49,-2432.42,0,1.0
RI,20.91,36.18,46.41,-103.5,1,
SC,116.88,227.61,46.23,-777.14,1,
SD,13.63,27.0,70.41,-74.85,1,
TN,116.47,181.12,40.54,-150.68,-4,
TX,363.75,609.22,64.47,-1823.94,1,1.0
UT,40.07,63.79,42.95,-203.5,1,
VA,121.88,209.98,32.45,-576.65,1,
VT,10.94,18.71,60.18,-40.23,1,
WA,73.89,117.92,51.42,-156.12,-5,
WI,103.46,182.15,51.04,-489.19,1,
WV,58.56,105.29,65.54,-272.03,0,
WY,15.74,23.3,64.44,-17.53,1,
