Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,9.33,13.69,44.46,-3.1,1,
1,79.06,117.85,43.39,-136.74,-4,
2,57.53,101.36,57.98,-237.9,1,
3,220.53,364.29,60.42,-1267.99,1,
4,419.22,591.52,39.48,-902.99,-4,0.0
5,74.39,116.61,37.38,-142.41,1,
6,49.93,76.18,57.86,-171.05,1,
7,27.15,47.3,72.27,-132.71,-1,
8,24.42,41.32,41.3,-86.17,-4,
9,406.8,618.02,33.92,-1693.97,-3,1.0
10,155.03,264.63,40.48,-690.9,-3,
11,16.73,23.86,43.36,-54.37,1,
12,45.29,83.33,85.19,-210.71,1,
13,35.99,51.7,61.51,-4.43,1,
14,222.88,362.58,51.71,-957.1,-4,
15,164.93,280.97,52.81,-617.08,0,
16,48.35,80.29,55.32,-190.28,0,
17,117.22,199.33,58.81,-345.79,0,
18,76.9,107.09,36.41,-134.38,1,
19,144.71,257.61,40.76,-644.69,1,
20,91.64,168.43,38.49,-471.42,1,
21,22.56,41.58,75.56,-98.8,1,
22,184.79,314.26,43.81,-634.16,0,
23,96.8,144.96,48.35,-204.55,1,
24,133.83,227.8,48.36,-523.19,0,
25,41.54,73.06,36.3,-189.0,1,
26,20.06,35.69,56.31,-97.25,-1,
27,205.71,367.36,44.94,-1188.34,1,
28,10.74,16.91,55.11,-41.96,1,
29,32.74,54.35,52.25,-117.69,0,
30,21.66,36.05,40.85,-76.43,-1,
31,173.95,274.81,46.81,-672.04,-4,
32,40.55,58.48,65.0,-9.18,1,
33,41.58,64.15,59.86,-8.27,1,
34,311.76,490.17,39.77,-847.23,-3,0.0
35,372.2,682.54,86.56,-2054.67,0,
36,85.65,140.63,76.61,-323.91,1,
37,71.38,108.49,47.48,26.92,-5,
38,520.51,878.04,44.49,-2432.42,0,1.0
39,20.91,36.18,46.41,-103.5,1,
40,116.88,227.61,46.23,-777.14,1,
41,13.63,27.0,70.41,-74.85,1,
42,116.47,181.12,40.54,-150.68,-4,
43,363.75,609.22,64.47,-1823.94,1,1.0
44,40.07,63.79,42.95,-203.5,1,
45,121.88,209.98,32.45,-576.65,1,
46,10.94,18.71,60.18,-40.23,1,
47,73.89,117.92,51.42,-156.12,-5,
48,103.46,182.15,51.04,-489.19,1,
49,58.56,105.29,65.54,-272.03,0,
50,15.74,23.3,64.44,-17.53,1,
