Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
Blekinge,3.57,5.74,86.27,-4.33,0,
Dalarna,6.81,11.57,48.41,-24.1,1,1.0
Gotland,2.51,4.03,48.02,-9.24,1,
Gävleborg,9.79,17.69,69.44,-61.39,1,
Halland,6.51,8.79,70.62,-0.79,1,
Jämtland Härjedalen,0.0,0.0,,0.0,20,
Jönköping,8.73,12.46,66.42,-23.77,-1,
Kalmar,5.61,8.77,38.69,-17.53,0,
Kronoberg,6.96,10.81,106.95,-15.41,1,
Norrbotten,4.86,6.65,89.38,5.59,-1,
Skåne,18.73,25.09,82.38,-34.55,0,1.0
Stockholm,43.86,61.35,66.39,-121.3,0,0.0
Södermanland,6.23,9.33,50.0,-21.01,1,1.0
Uppsala,16.5,23.67,136.16,41.08,-2,-4.0
Värmland,4.51,7.76,34.78,-9.29,0,0.0
Västerbotten,8.25,12.96,66.2,-13.43,1,
Västernorrland,9.99,15.14,110.02,14.79,1,1.0
Västmanland,4.77,7.26,77.0,3.65,1,
Västra Götaland,21.6,29.8,59.47,-61.94,0,1.0
Örebro,6.78,8.97,68.21,-9.99,1,
Östergötland,6.96,11.3,39.7,-19.42,1,
