Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
Blekinge,3.7,5.88,70.2,-4.57,0,
Dalarna,7.39,12.67,39.98,-16.55,1,1.0
Gotland,2.55,3.98,46.54,-5.07,1,
Gävleborg,6.93,12.93,57.7,-29.07,1,
Halland,5.7,8.88,50.18,-9.04,0,
Jämtland Härjedalen,0.0,0.0,,0.0,21,
Jönköping,7.92,11.91,47.39,-22.36,-2,
Kalmar,6.08,8.88,54.54,-15.17,0,
Kronoberg,7.51,11.66,108.32,-8.48,1,
Norrbotten,4.72,6.65,57.86,-0.62,-1,
Skåne,17.64,24.41,52.55,-40.36,0,1.0
Stockholm,45.42,66.13,42.16,-133.22,0,1.0
Södermanland,5.99,9.2,55.93,-15.45,1,1.0
Uppsala,11.21,16.79,68.07,15.41,-2,-3.0
Värmland,4.79,7.97,28.59,-13.94,0,0.0
Västerbotten,8.25,12.43,66.57,-15.73,1,
Västernorrland,7.87,12.84,62.55,-5.48,1,1.0
Västmanland,4.38,7.09,42.41,-0.17,1,
Västra Götaland,18.12,26.12,51.26,-45.57,0,1.0
Örebro,5.98,9.05,34.92,-6.68,1,
Östergötland,7.39,11.66,36.87,-18.55,0,
