Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,3.69,6.05,63.34,-3.41,0,
1,7.16,11.83,49.94,-13.36,1,0.0
2,2.64,4.08,46.9,-5.31,1,
3,6.63,12.23,57.77,-23.2,1,1.0
4,5.15,8.31,30.75,-8.67,0,
5,0.0,0.0,,0.0,18,
6,8.22,12.23,52.65,-21.89,1,
7,5.81,8.54,47.32,-14.24,1,
8,7.96,11.74,106.57,-4.28,1,
9,4.64,6.96,38.38,-3.95,-1,
10,18.5,25.55,79.76,-43.53,0,1.0
11,41.99,60.01,42.65,-106.28,0,1.0
12,5.79,9.24,75.51,-18.86,1,1.0
13,14.02,18.14,206.45,15.81,-5,-3.0
14,5.25,7.83,47.45,-11.6,0,0.0
15,8.2,11.92,63.02,-14.17,1,
16,8.25,12.72,65.98,-0.36,1,1.0
17,5.37,7.48,49.11,-3.5,1,
18,16.88,23.98,80.15,-40.18,0,1.0
19,6.61,10.15,55.37,-10.79,1,
20,7.1,11.42,41.58,-20.53,0,
