Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
AK,6.54,9.92,37.64,-21.09,1,
AL,111.48,184.74,45.69,-401.6,-3,
AR,63.86,107.37,260.79,-382.45,1,
AZ,362.49,589.41,97.35,-2130.75,0,
CA,588.31,980.82,51.6,-2320.77,-3,1.0
CO,96.35,161.56,128.94,-402.17,1,
CT,51.83,86.61,138.45,-240.16,1,
DC,33.83,60.95,139.87,-203.35,-1,
DE,35.78,62.9,68.79,-159.62,-4,
FL,748.59,1086.87,62.7,-2683.87,-3,
GA,251.57,419.67,137.36,-1038.26,-3,
HI,31.71,41.21,69.18,-94.11,1,
IA,65.9,107.22,431.03,-351.95,1,
ID,26.5,43.76,90.33,-137.42,1,
IL,358.72,582.49,274.57,-1476.01,-4,
IN,220.84,399.05,132.22,-1061.36,1,
KS,61.68,107.22,110.46,-299.58,-5,
KY,140.22,212.22,245.97,-590.14,1,
LA,102.75,154.71,50.52,-356.89,1,
MA,207.22,368.42,84.14,-1019.81,1,
MD,137.78,244.3,189.95,-741.21,1,
ME,27.79,46.64,239.07,-117.53,1,
MI,239.04,405.03,76.87,-929.53,1,
MN,153.42,255.23,165.49,-566.84,1,
MO,172.29,289.66,322.6,-794.07,1,
MS,51.4,94.67,49.61,-346.32,2,
MT,29.18,47.83,126.49,-131.02,1,
NC,335.04,565.41,90.78,-1747.85,-1,
ND,10.93,18.8,118.9,-65.08,1,
NE,44.7,76.66,95.06,-191.66,2,
NH,25.12,44.8,60.59,-107.67,0,
NJ,255.12,434.0,81.33,-1150.86,-2,
NM,22.53,29.76,143.63,-62.78,1,
NV,45.31,60.77,163.27,-76.09,1,
NY,499.44,785.01,162.54,-1781.72,-3,
OH,569.95,982.64,216.19,-2837.01,1,
OK,104.93,164.61,191.93,-499.08,2,
OR,68.0,94.22,80.93,-128.66,-4,
PA,847.96,1343.05,115.04,-3483.39,-2,
RI,33.95,55.8,80.39,-154.6,-4,
SC,191.12,332.74,144.76,-1074.34,-1,
SD,19.12,35.56,184.15,-125.55,1,
TN,130.59,218.63,183.24,-494.17,-4,
TX,488.34,905.08,391.34,-3111.06,-3,
UT,68.07,102.35,73.29,-303.57,1,
VA,176.85,304.43,90.03,-915.24,2,
VT,12.71,23.0,82.02,-74.13,1,
WA,76.28,125.49,228.15,-301.42,-4,
WI,157.42,283.69,177.19,-767.57,-1,
WV,82.79,138.14,185.46,-382.88,0,
WY,17.72,26.91,127.73,-56.19,1,
