Region,MAE,RMSE,MAPE (%),Peak intensity error,Peak week error,Onset week error
0,11.23,13.98,97.87,-4.77,1,
1,136.36,187.51,144.59,-348.29,-3,
2,70.86,103.49,266.51,-377.75,0,
3,463.52,659.91,167.98,-2242.34,-1,
4,638.85,856.07,110.11,-1726.65,-3,0.0
5,129.21,184.15,181.26,-392.99,2,
6,57.13,78.02,145.81,-203.35,-4,
7,42.41,68.09,244.73,-196.2,-3,
8,42.93,69.26,148.62,-146.57,-3,
9,774.37,1112.9,78.17,-2632.68,-4,
10,307.78,472.04,172.65,-1091.81,-5,
11,30.11,43.5,72.49,-96.84,0,
12,66.02,103.47,583.01,-343.94,0,
13,40.86,50.75,155.64,-80.79,2,
14,404.62,602.0,382.93,-1368.34,-4,
15,270.2,436.87,274.1,-997.35,-5,
16,73.41,116.86,266.58,-253.48,-5,
17,165.74,238.75,318.37,-531.27,-5,
18,117.67,149.97,93.54,-324.57,0,
19,228.37,370.58,128.02,-1002.7,-1,
20,156.52,265.32,231.26,-720.6,-3,
21,30.82,42.35,337.98,-113.92,0,
22,260.05,393.21,177.76,-871.14,-1,
23,185.54,265.19,230.42,-562.7,2,
24,203.97,323.67,417.4,-721.19,-5,
25,60.55,96.23,121.68,-307.23,-3,
26,30.62,50.92,118.37,-130.83,-6,
27,395.18,620.38,215.01,-1711.98,-3,
28,10.58,16.54,91.93,-60.71,-1,
29,53.11,83.73,209.19,-174.0,-3,
30,30.8,46.26,128.0,-99.17,-6,
31,273.08,415.18,153.3,-961.55,-3,
32,33.19,38.98,192.43,-22.94,1,
33,34.38,46.63,153.34,-26.16,1,
34,547.93,778.96,229.49,-1569.93,-2,
35,695.17,1151.96,396.88,-2903.21,-4,
36,89.82,142.93,199.83,-467.58,2,
37,80.75,104.67,134.33,-20.12,-4,
38,942.98,1485.86,114.29,-3450.79,-4,
39,36.93,59.93,173.17,-149.27,-3,
40,226.23,372.55,201.61,-1055.61,-2,
41,18.61,34.17,230.27,-126.66,0,
42,182.79,250.23,240.9,-491.73,-3,
43,567.54,897.6,317.22,-2794.5,-3,1.0
44,80.7,118.65,115.8,-319.8,15,
45,219.08,348.84,161.37,-864.64,-3,
46,12.56,19.23,188.05,-67.04,1,
47,91.28,124.86,208.02,-158.5,-4,
48,177.78,289.39,219.84,-740.43,-1,
49,97.19,152.97,249.37,-409.18,-6,
50,22.87,31.12,240.84,-55.2,2,
