Rank,Model,WIS,Rel. WIS,Sharpness,Calibration,N weeks,Horizons
1,FluSight-trained_med,143.91,0.548,35.93,107.98,16,{3: 16}
2,UNC_IDD-InfluPaint,129.8,0.555,15.92,113.88,17,{3: 17}
3,FluSight-trained_mean,138.85,0.616,50.11,88.74,16,{3: 16}
4,FluSight-lop_norm,150.67,0.618,41.57,109.11,22,{3: 22}
5,CEPH-Rtrend_fluH,159.87,0.632,26.08,133.79,22,{3: 22}
6,CMU-TimeSeries,164.1,0.655,40.74,123.36,22,{3: 22}
7,CU-ensemble,171.7,0.664,26.06,145.64,22,{3: 22}
8,PSI-PROF,162.96,0.68,41.07,121.89,23,{3: 23}
9,FluSight-ensemble,168.86,0.684,27.8,141.07,22,{3: 22}
10,LosAlamos_NAU-CModel_Flu,173.34,0.696,46.6,126.74,19,{3: 19}
11,PSI-PROF_beta,171.39,0.7,37.81,133.58,21,{3: 21}
12,CMU-climate_baseline,184.56,0.72,38.8,145.76,21,{3: 21}
13,UVAFluX-CESGCN,191.43,0.721,10.06,181.38,16,{3: 16}
14,ISU_NiemiLab-GPE,185.97,0.741,33.97,152.0,18,{3: 18}
15,MIGHTE-Nsemble,206.84,0.809,20.77,186.07,21,{3: 21}
16,OHT_JHU-nbxd,208.78,0.819,33.6,175.17,22,{3: 22}
17,MIGHTE-Joint,211.35,0.831,22.32,189.02,20,{3: 20}
18,UI_CompEpi-EpiGen,206.52,0.833,20.45,186.07,17,{3: 17}
19,UMass-AR2,198.8,0.841,36.57,162.23,21,{3: 21}
20,Gatech-ensemble_point,212.16,0.854,22.1,190.06,22,{3: 22}
21,UVAFluX-Ensemble,212.43,0.9,68.78,143.65,23,{3: 23}
22,UM-DeepOutbreak,226.55,0.923,50.21,176.34,23,{3: 23}
23,Gatech-ensemble_prob,237.42,0.946,19.81,217.61,22,{3: 22}
24,FluSight-baseline,256.11,1.0,20.22,235.89,22,{3: 22}
25,UGA_CEID-Walk,267.45,1.076,47.56,219.89,20,{3: 20}
26,Stevens-ILIForecast,296.93,1.174,5.55,291.38,20,{3: 20}
27,JHUAPL-DMD,327.37,1.265,65.58,261.79,22,{3: 22}
