Rank,Model,WIS,Rel. WIS,Sharpness,Calibration,N weeks,Horizons
1,FluSight-trained_med,110.82,0.569,34.37,76.45,51,"{1: 18, 2: 17, 3: 16}"
2,FluSight-trained_mean,111.81,0.636,42.47,69.34,51,"{1: 18, 2: 17, 3: 16}"
3,FluSight-lop_norm,119.91,0.645,36.28,83.63,69,"{1: 24, 2: 23, 3: 22}"
4,UNC_IDD-InfluPaint,124.76,0.675,13.17,111.59,54,"{1: 19, 2: 18, 3: 17}"
5,CEPH-Rtrend_fluH,127.42,0.676,23.48,103.94,69,"{1: 24, 2: 23, 3: 22}"
6,CMU-TimeSeries,128.11,0.677,38.4,89.71,69,"{1: 24, 2: 23, 3: 22}"
7,CU-ensemble,136.17,0.697,24.27,111.9,68,"{1: 23, 2: 23, 3: 22}"
8,FluSight-ensemble,130.26,0.697,25.86,104.4,69,"{1: 24, 2: 23, 3: 22}"
9,PSI-PROF,131.93,0.717,37.44,94.5,72,"{1: 25, 2: 24, 3: 23}"
10,PSI-PROF_beta,141.43,0.764,37.35,104.08,66,"{1: 23, 2: 22, 3: 21}"
11,ISU_NiemiLab-GPE,150.89,0.788,28.29,122.59,57,"{1: 20, 2: 19, 3: 18}"
12,LosAlamos_NAU-CModel_Flu,153.08,0.806,43.65,109.43,60,"{1: 21, 2: 20, 3: 19}"
13,UMass-AR2,153.74,0.847,29.53,124.2,66,"{1: 23, 2: 22, 3: 21}"
14,MIGHTE-Nsemble,173.91,0.877,19.18,154.73,65,"{1: 22, 2: 22, 3: 21}"
15,Gatech-ensemble_point,165.23,0.878,20.68,144.56,69,"{1: 24, 2: 23, 3: 22}"
16,UVAFluX-CESGCN,175.98,0.883,9.28,166.69,51,"{1: 18, 2: 17, 3: 16}"
17,OHT_JHU-nbxd,171.21,0.883,30.97,140.24,67,"{1: 23, 2: 22, 3: 22}"
18,CMU-climate_baseline,173.17,0.89,38.17,135.01,66,"{1: 23, 2: 22, 3: 21}"
19,UVAFluX-Ensemble,163.52,0.908,54.96,108.57,72,"{1: 25, 2: 24, 3: 23}"
20,MIGHTE-Joint,178.88,0.914,20.86,158.02,60,"{1: 20, 2: 20, 3: 20}"
21,UI_CompEpi-EpiGen,175.78,0.939,20.42,155.36,54,"{1: 19, 2: 18, 3: 17}"
22,Gatech-ensemble_prob,190.99,0.985,18.34,172.64,69,"{1: 24, 2: 23, 3: 22}"
23,FluSight-baseline,193.46,1.0,15.63,177.83,69,"{1: 24, 2: 23, 3: 22}"
24,UM-DeepOutbreak,187.84,1.001,47.84,139.99,71,"{1: 24, 2: 24, 3: 23}"
25,UGA_CEID-Walk,209.48,1.109,40.45,169.03,63,"{1: 22, 2: 21, 3: 20}"
26,JHUAPL-DMD,231.3,1.169,47.15,184.15,69,"{1: 24, 2: 23, 3: 22}"
27,Stevens-ILIForecast,259.38,1.321,6.27,253.11,60,"{1: 20, 2: 20, 3: 20}"
