dataset,model,fold_season,ratio,c_u,c_o,scope,total_cost,under_cost,over_cost,service_level,n_weeks,n_regions
Sweden-CV,MEx-ColaGNN-SE,2018/19,2:1,2,1,fold,6143.057353434885,2445.9392672911954,3697.1180861436897,0.7142857142857143,33,21
Sweden-CV,MEx-ColaGNN-SE,2018/19,3:1,3,1,fold,7548.73790216461,2967.4690556688056,4581.268846495805,0.7691197691197691,33,21
Sweden-CV,MEx-ColaGNN-SE,2018/19,5:1,5,1,fold,9489.471966007019,3347.5383330536647,6141.933632953353,0.8412698412698413,33,21
Sweden-CV,MEx-ColaGNN-SE,2018/19,10:1,10,1,fold,12381.50927444408,4653.711974131039,7727.797300313042,0.8946608946608947,33,21
Sweden-CV,MEx-ColaGNN-SE,2019/20,2:1,2,1,fold,3946.6413977663246,1418.730597222826,2527.9108005434987,0.784992784992785,33,21
Sweden-CV,MEx-ColaGNN-SE,2019/20,3:1,3,1,fold,5157.719885544341,1559.5880151371146,3598.131870407227,0.8297258297258298,33,21
Sweden-CV,MEx-ColaGNN-SE,2019/20,5:1,5,1,fold,6482.971577486921,1563.8313581738416,4919.140219313079,0.8961038961038961,33,21
Sweden-CV,MEx-ColaGNN-SE,2019/20,10:1,10,1,fold,8653.131830006732,1820.51843260325,6832.613397403482,0.9581529581529582,33,21
Sweden-CV,MEx-ColaGNN-SE,2021/22,2:1,2,1,fold,11710.650912563742,8634.2208240018,3076.4300885619414,0.5180375180375181,33,21
Sweden-CV,MEx-ColaGNN-SE,2021/22,3:1,3,1,fold,15435.524910278276,11832.817817195413,3602.707093082863,0.56998556998557,33,21
Sweden-CV,MEx-ColaGNN-SE,2021/22,5:1,5,1,fold,21817.470046475268,17492.55352644045,4324.916520034816,0.6320346320346321,33,21
Sweden-CV,MEx-ColaGNN-SE,2021/22,10:1,10,1,fold,35003.72053631186,28942.44287195926,6061.277664352606,0.7402597402597403,33,21
Sweden-CV,MEx-ColaGNN-SE,2022/23,2:1,2,1,fold,11171.478232272113,5897.793296733858,5273.684935538255,0.5815295815295816,33,21
Sweden-CV,MEx-ColaGNN-SE,2022/23,3:1,3,1,fold,17366.603983589484,6312.060167791501,11054.543815797984,0.6883116883116883,33,21
Sweden-CV,MEx-ColaGNN-SE,2022/23,5:1,5,1,fold,20747.50963888478,7388.506101932988,13359.003536951794,0.7792207792207793,33,21
Sweden-CV,MEx-ColaGNN-SE,2022/23,10:1,10,1,fold,28788.985091925635,7133.431259526083,21655.55383239955,0.8816738816738817,33,21
Sweden-CV,MEx-ColaGNN-SE,2023/24,2:1,2,1,fold,6574.709654675623,1575.3224955032056,4999.387159172417,0.7633477633477633,33,21
Sweden-CV,MEx-ColaGNN-SE,2023/24,3:1,3,1,fold,7971.7027662829905,1698.1017008338079,6273.601065449184,0.8282828282828283,33,21
