dataset,model,ratio,c_u,c_o,region,total_cost,under_cost,over_cost,service_level,n_weeks,n_regions
Sweden-2024-25,MEx-ColaGNN-SE,2:1,2,1,NATIONAL,7809.592947293634,4469.400680494149,3340.192266799483,0.6926406926406926,33,21
Sweden-2024-25,MEx-ColaGNN-SE,3:1,3,1,NATIONAL,9802.641627578445,5481.402585326066,4321.239042252378,0.7662337662337663,33,21
Sweden-2024-25,MEx-ColaGNN-SE,5:1,5,1,NATIONAL,11885.475845046882,6148.263397394818,5737.212447652064,0.8311688311688312,33,21
Sweden-2024-25,MEx-ColaGNN-SE,10:1,10,1,NATIONAL,14593.137311478853,6370.930159533608,8222.207151945242,0.8874458874458875,33,21
Sweden-2024-25,MEx-EpiGNN-SE,2:1,2,1,NATIONAL,8764.07737358326,5769.71516811347,2994.3622054697917,0.6637806637806638,33,21
Sweden-2024-25,MEx-EpiGNN-SE,3:1,3,1,NATIONAL,11035.306491118821,7167.923257584887,3867.383233533934,0.7316017316017316,33,21
Sweden-2024-25,MEx-EpiGNN-SE,5:1,5,1,NATIONAL,13655.282456026718,8612.949814500887,5042.332641525828,0.7864357864357865,33,21
Sweden-2024-25,MEx-EpiGNN-SE,10:1,10,1,NATIONAL,16103.156748240508,8502.617154462,7600.539593778507,0.8614718614718615,33,21
Sweden-2024-25,Persistence,2:1,2,1,NATIONAL,9516.047759524925,5412.084727187692,4103.963032337232,0.6738816738816739,33,21
Sweden-2024-25,Persistence,3:1,3,1,NATIONAL,11368.399614262244,5595.416474280152,5772.983139982092,0.7619047619047619,33,21
Sweden-2024-25,Persistence,5:1,5,1,NATIONAL,13726.658657929298,6291.599157476194,7435.059500453104,0.834054834054834,33,21
Sweden-2024-25,Persistence,10:1,10,1,NATIONAL,17899.70559135711,7577.067076325386,10322.638515031724,0.8975468975468975,33,21
Sweden-2024-25,SeasonalNaive,2:1,2,1,NATIONAL,32607.562743909977,27831.03105553902,4776.53168837096,0.5137085137085137,33,21
Sweden-2024-25,SeasonalNaive,3:1,3,1,NATIONAL,44155.869795727755,38267.85969173433,5888.010103993421,0.5512265512265512,33,21
Sweden-2024-25,SeasonalNaive,5:1,5,1,NATIONAL,65311.98358140883,57844.154731071,7467.828850337831,0.5901875901875901,33,21
Sweden-2024-25,SeasonalNaive,10:1,10,1,NATIONAL,107405.3341208109,96808.2612615821,10597.0728592288,0.6522366522366523,33,21
