dataset,model,horizon,fold_season,ratio,c_u,c_o,scope,total_cost,under_cost,over_cost,service_level,n_weeks,n_regions
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2018/19,2:1,2,1,fold,5896.074717468052,2360.9054745928074,3535.169242875244,0.6940836940836941,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2018/19,3:1,3,1,fold,7243.490780836373,2949.014199195705,4294.476581640669,0.7489177489177489,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2018/19,5:1,5,1,fold,9054.567496425745,3287.88037632511,5766.687120100636,0.8282828282828283,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2018/19,10:1,10,1,fold,11589.309886945317,4043.566930027214,7545.742956918106,0.8975468975468975,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2019/20,2:1,2,1,fold,3999.0540470411106,1376.4802159614067,2622.573831079704,0.7965367965367965,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2019/20,3:1,3,1,fold,5185.724106293199,1515.764366405868,3669.95973988733,0.8427128427128427,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2019/20,5:1,5,1,fold,6568.954456221256,1578.5352633413668,4990.419192879888,0.9033189033189033,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2019/20,10:1,10,1,fold,8623.398794933055,1836.997614934834,6786.40117999822,0.9595959595959596,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2021/22,2:1,2,1,fold,12002.914129036002,8958.633749523164,3044.2803795128407,0.5252525252525253,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2021/22,3:1,3,1,fold,15771.165043378616,12307.238249254186,3463.9267941244316,0.5670995670995671,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2021/22,5:1,5,1,fold,22569.81397771879,18344.946337624602,4224.867640094182,0.6479076479076479,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2021/22,10:1,10,1,fold,35864.936780890814,29838.916171730067,6026.02060916074,0.7619047619047619,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2022/23,2:1,2,1,fold,11042.159886339192,6190.055922109433,4852.103964229758,0.5772005772005772,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2022/23,3:1,3,1,fold,16905.013786901985,6378.814519958841,10526.199266943144,0.6883116883116883,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2022/23,5:1,5,1,fold,20382.617405832694,7539.169507282619,12843.447898550077,0.7806637806637806,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2022/23,10:1,10,1,fold,28917.072067342626,7975.7423679683925,20941.329699374233,0.8773448773448773,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2023/24,2:1,2,1,fold,6868.544301083656,1330.7563547167788,5537.787946366878,0.7676767676767676,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2023/24,3:1,3,1,fold,8315.883385790203,1297.7005060299975,7018.182879760205,0.8484848484848485,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2023/24,5:1,5,1,fold,10128.285055784669,1325.0472688375016,8803.237786947167,0.9076479076479076,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2023/24,10:1,10,1,fold,12211.729129800255,1214.6727806640483,10997.056349136205,0.948051948051948,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2024/25,2:1,2,1,fold,7809.593260796781,4469.40101601877,3340.1922447780125,0.6926406926406926,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2024/25,3:1,3,1,fold,9802.642768474947,5481.403774782774,4321.238993692172,0.7662337662337663,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2024/25,5:1,5,1,fold,11885.475446952965,6148.262458092602,5737.212988860363,0.8311688311688312,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,2024/25,10:1,10,1,fold,14593.137445694545,6370.929607656271,8222.207838038275,0.8874458874458875,33,21
Sweden-CV-multihorizon,MEx-ColaGNN-SE,1,POOLED,2:1,2,1,pooled,47618.34034176479,24686.232732922355,22932.107608842434,0.6755651755651756,198,21
