Model,Variant,Seed,MAE,RMSE,MAPE,PCC
EpiGNN,Base,42,11.54,15.74,120.2,0.8988
EpiGNN,Base,123,9.5,14.66,51.0,0.9142
EpiGNN,Base,456,9.88,14.4,82.7,0.9075
EpiGNN,Base,777,8.83,13.11,61.8,0.9161
EpiGNN,Base,1,10.97,16.02,68.6,0.9142
EpiGNN,Base,2,9.88,14.57,72.8,0.9117
EpiGNN,Base,3,9.55,14.12,67.5,0.9169
EpiGNN,Base,4,9.06,13.51,65.7,0.9209
EpiGNN,Base,5,9.92,14.69,73.9,0.9066
EpiGNN,Base,6,12.16,16.71,104.6,0.8966
EpiGNN,Base,7,9.44,14.03,66.2,0.9163
EpiGNN,Adapted,42,9.03,13.67,53.7,0.913
EpiGNN,Adapted,123,10.05,14.32,82.6,0.9069
EpiGNN,Adapted,456,8.87,13.47,69.6,0.8986
EpiGNN,Adapted,777,9.33,13.39,82.3,0.9036
EpiGNN,Adapted,1,9.14,13.93,62.7,0.9034
EpiGNN,Adapted,2,8.92,13.54,53.9,0.9093
EpiGNN,Adapted,3,9.11,14.04,63.9,0.897
EpiGNN,Adapted,4,9.04,13.35,65.0,0.9095
EpiGNN,Adapted,5,8.52,12.98,50.0,0.9118
EpiGNN,Adapted,6,10.01,15.02,70.7,0.9038
EpiGNN,Adapted,7,9.03,13.65,58.5,0.9114
ColaGNN,Base,42,7.9,12.01,48.0,0.922
ColaGNN,Base,123,8.3,12.77,52.1,0.9162
ColaGNN,Base,456,8.03,12.27,54.1,0.9139
ColaGNN,Base,777,8.33,12.97,50.4,0.9131
ColaGNN,Base,1,8.99,13.77,51.7,0.9199
ColaGNN,Base,2,8.84,13.75,48.4,0.9049
ColaGNN,Base,3,8.91,13.71,56.2,0.9078
ColaGNN,Base,4,8.38,12.74,50.0,0.9179
ColaGNN,Base,5,7.94,12.2,49.6,0.92
ColaGNN,Base,6,8.91,13.87,50.3,0.9067
ColaGNN,Base,7,8.69,13.51,48.0,0.9102
ColaGNN,Adapted,42,8.13,12.48,47.9,0.9165
ColaGNN,Adapted,123,8.87,13.69,49.3,0.9181
ColaGNN,Adapted,456,8.34,12.73,48.7,0.9248
ColaGNN,Adapted,777,8.37,12.85,51.7,0.9205
ColaGNN,Adapted,1,8.26,13.01,48.0,0.9185
ColaGNN,Adapted,2,8.71,13.59,50.7,0.9126
ColaGNN,Adapted,3,9.13,13.57,63.0,0.9191
ColaGNN,Adapted,4,8.63,13.33,48.5,0.9193
ColaGNN,Adapted,5,8.12,12.4,49.7,0.925
ColaGNN,Adapted,6,7.63,11.72,44.8,0.9199
ColaGNN,Adapted,7,8.35,12.82,49.3,0.9158
