model,reference_date,flusight_horizon,our_horizon,target_end_date,wis,rel_wis,baseline_wis
colagnn,2024-11-23,1,2,2024-11-30,26.25,0.917,32.02
colagnn,2024-11-23,2,3,2024-12-07,43.96,0.984,53.69
colagnn,2024-11-23,3,4,2024-12-14,68.52,0.814,89.9
epignn,2024-11-23,1,2,2024-11-30,27.17,1.066,32.02
epignn,2024-11-23,2,3,2024-12-07,41.81,0.973,53.69
epignn,2024-11-23,3,4,2024-12-14,76.48,0.882,89.9
colagnn,2024-11-30,1,2,2024-12-07,40.21,0.827,49.73
colagnn,2024-11-30,2,3,2024-12-14,66.95,0.741,86.98
colagnn,2024-11-30,3,4,2024-12-21,148.13,0.71,186.9
epignn,2024-11-30,1,2,2024-12-07,40.29,0.9,49.73
epignn,2024-11-30,2,3,2024-12-14,66.69,0.789,86.98
epignn,2024-11-30,3,4,2024-12-21,163.02,0.847,186.9
colagnn,2024-12-07,1,2,2024-12-14,59.45,0.766,70.43
colagnn,2024-12-07,2,3,2024-12-21,146.77,0.716,175.22
colagnn,2024-12-07,3,4,2024-12-28,339.57,0.737,400.44
epignn,2024-12-07,1,2,2024-12-14,61.3,0.846,70.43
epignn,2024-12-07,2,3,2024-12-21,146.32,0.79,175.22
epignn,2024-12-07,3,4,2024-12-28,362.24,0.883,400.44
colagnn,2024-12-14,1,2,2024-12-21,124.71,0.687,153.06
colagnn,2024-12-14,2,3,2024-12-28,317.83,0.685,377.57
colagnn,2024-12-14,3,4,2025-01-04,496.68,0.753,575.87
epignn,2024-12-14,1,2,2024-12-21,131.43,0.782,153.06
epignn,2024-12-14,2,3,2024-12-28,329.57,0.803,377.57
epignn,2024-12-14,3,4,2025-01-04,535.99,0.893,575.87
colagnn,2024-12-21,1,2,2024-12-28,253.99,0.625,332.54
colagnn,2024-12-21,2,3,2025-01-04,422.22,0.645,528.95
colagnn,2024-12-21,3,4,2025-01-11,280.6,0.642,363.32
epignn,2024-12-21,1,2,2024-12-28,288.33,0.791,332.54
epignn,2024-12-21,2,3,2025-01-04,470.22,0.819,528.95
epignn,2024-12-21,3,4,2025-01-11,338.2,0.907,363.32
colagnn,2024-12-28,1,2,2025-01-04,335.99,0.605,460.32
colagnn,2024-12-28,2,3,2025-01-11,208.18,0.576,296.95
colagnn,2024-12-28,3,4,2025-01-18,267.63,0.7,337.82
epignn,2024-12-28,1,2,2025-01-04,410.89,0.828,460.32
epignn,2024-12-28,2,3,2025-01-11,269.07,0.849,296.95
epignn,2024-12-28,3,4,2025-01-18,341.19,1.023,337.82
colagnn,2025-01-04,1,2,2025-01-11,90.9,0.877,125.87
colagnn,2025-01-04,2,3,2025-01-18,156.25,0.981,186.27
colagnn,2025-01-04,3,4,2025-01-25,264.04,1.005,315.26
epignn,2025-01-04,1,2,2025-01-11,123.72,1.018,125.87
epignn,2025-01-04,2,3,2025-01-18,204.8,1.066,186.27
epignn,2025-01-04,3,4,2025-01-25,364.79,1.281,315.26
colagnn,2025-01-11,1,2,2025-01-18,115.99,1.174,137.56
colagnn,2025-01-11,2,3,2025-01-25,193.08,0.987,219.55
colagnn,2025-01-11,3,4,2025-02-01,339.25,1.018,380.35
epignn,2025-01-11,1,2,2025-01-18,120.79,0.847,137.56
epignn,2025-01-11,2,3,2025-01-25,268.52,1.012,219.55
epignn,2025-01-11,3,4,2025-02-01,489.79,1.336,380.35
colagnn,2025-01-18,1,2,2025-01-25,180.97,0.991,241.94
