Rank,Model,WIS,Rel. WIS,Sharpness,Calibration,N weeks,Overlap,Horizons
1,FluSight-lop_norm,110.93,0.643,33.81,77.12,75,75,"{1: 26, 2: 25, 3: 24}"
2,FluSight-trained_med,99.98,0.647,31.31,68.67,57,57,"{1: 20, 2: 19, 3: 18}"
3,PSI-PROF,122.44,0.651,35.0,87.43,78,75,"{1: 27, 2: 26, 3: 25}"
4,UNC_IDD-InfluPaint,113.82,0.656,11.91,101.91,60,60,"{1: 21, 2: 20, 3: 19}"
5,PSI-PROF_beta,130.35,0.661,34.7,95.64,72,69,"{1: 25, 2: 24, 3: 23}"
6,CMU-TimeSeries,118.53,0.675,35.58,82.95,75,75,"{1: 26, 2: 25, 3: 24}"
7,CEPH-Rtrend_fluH,118.01,0.675,21.91,96.1,75,75,"{1: 26, 2: 25, 3: 24}"
8,CU-ensemble,129.08,0.687,23.28,105.79,72,72,"{1: 25, 2: 24, 3: 23}"
9,FluSight-ensemble,120.4,0.694,24.16,96.24,75,75,"{1: 26, 2: 25, 3: 24}"
10,MEx-ColaGNN,157.02,0.721,27.88,129.14,72,69,"{1: 25, 2: 24, 3: 23}"
11,FluSight-trained_mean,100.86,0.722,38.48,62.37,57,57,"{1: 20, 2: 19, 3: 18}"
12,LosAlamos_NAU-CModel_Flu,146.2,0.73,41.74,104.46,63,60,"{1: 21, 2: 21, 3: 21}"
13,OHT_JHU-nbxd,159.82,0.752,29.07,130.74,72,69,"{1: 25, 2: 24, 3: 23}"
14,ISU_NiemiLab-GPE,139.52,0.755,26.52,112.99,62,62,"{1: 21, 2: 21, 3: 20}"
15,UGuelph-CompositeCurve,126.01,0.763,47.56,78.45,38,38,"{1: 13, 2: 13, 3: 12}"
16,MEx-EpiGNN,171.39,0.781,20.9,150.49,72,69,"{1: 25, 2: 24, 3: 23}"
17,UMass-AR2,141.84,0.814,27.76,114.08,72,72,"{1: 25, 2: 24, 3: 23}"
18,MIGHTE-Joint,170.81,0.856,20.21,150.6,63,63,"{1: 22, 2: 21, 3: 20}"
19,UVAFluX-Ensemble,151.82,0.861,51.36,100.46,78,75,"{1: 27, 2: 26, 3: 25}"
20,MIGHTE-Nsemble,164.45,0.875,18.47,145.98,69,69,"{1: 24, 2: 23, 3: 22}"
21,Gatech-ensemble_point,153.04,0.876,19.43,133.61,75,75,"{1: 26, 2: 25, 3: 24}"
22,UI_CompEpi-EpiGen,159.69,0.905,19.67,140.02,60,60,"{1: 21, 2: 20, 3: 19}"
23,CMU-climate_baseline,159.8,0.931,35.4,124.41,72,72,"{1: 25, 2: 24, 3: 23}"
24,UM-DeepOutbreak,179.02,0.939,46.38,132.64,75,72,"{1: 26, 2: 25, 3: 24}"
25,Gatech-ensemble_prob,176.58,0.981,17.15,159.43,75,75,"{1: 26, 2: 25, 3: 24}"
26,FluSight-baseline,179.31,1.0,15.58,163.73,75,75,"{1: 26, 2: 25, 3: 24}"
27,UVAFluX-CESGCN,158.81,1.005,8.39,150.42,57,57,"{1: 20, 2: 19, 3: 18}"
28,UGA_CEID-Walk,192.19,1.047,37.66,154.52,69,69,"{1: 24, 2: 23, 3: 22}"
29,JHUAPL-DMD,222.42,1.167,45.83,176.58,72,72,"{1: 24, 2: 24, 3: 24}"
30,Stevens-ILIForecast,255.53,1.231,6.18,249.35,61,61,"{1: 21, 2: 20, 3: 20}"
